Year,Reserve Type,Réserves,Discretionary Reserves,Fonds de réserve discrétionnaires,Opening,Closing,Ouverture,Ferme
2024,Capital,Immobilisations,Fleet Reserve,Fonds de réserve du parc automobile,497,1056.70051,497,1056.70051
2024,Capital,Immobilisations,Housing Reserve,Fonds de réserve pour le logement social,10039.6,-15270.57732,10039.6,-15270.57732
2024,Capital,Immobilisations,Ottawa Public Health,Santé publique Ottawa,259,465.76,259,465.76
2024,Capital,Immobilisations,Parks Rec Facilities Reserve,Fonds de réserve pour la sécurité routière,2153,2882.02342,2153,2882.02342
2024,Capital,Immobilisations,Police Capital Reserve,Fonds de réserve pour immobilisations du service de police,9102,12582.25621,9102,12582.25621
2024,Capital,Immobilisations,Police Fleet Reserve,Fonds de réserve du parc automobile du service de police,141,474.35,141,474.35
2024,Capital,Immobilisations,Transit Capital Reserve,Fonds de réserve pour immobilisations du Service de transport en commun,5319,9787.273796,5319,9787.273796
2025,Capital,Immobilisations,CIL  - Parkland City wide,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Toute la ville,2559.196071,90.19607112,2559.196071,90.19607112
2025,Capital,Immobilisations,CIL - Parkland by Ward,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Districts,20309.75757,22221.75757,20309.75757,22221.75757
2025,Capital,Immobilisations,City Wide Capital Reserve,Fonds de réserve pour immobilisations de la Ville,50351.94421,63428.94421,50351.94421,63428.94421
2025,Capital,Immobilisations,Fleet Reserve,Fonds de réserve du parc automobile,1056.70051,313.70051,1056.70051,313.70051
2025,Capital,Immobilisations,Housing Reserve,Fonds de réserve pour le logement social,-15270.57732,-6570.57732,-15270.57732,-6570.57732
2025,Capital,Immobilisations,Ottawa Public Health,Santé publique Ottawa,465.76,462.76,465.76,462.76
2025,Capital,Immobilisations,Parks Rec Facilities Reserve,Fonds de réserve pour la sécurité routière,2882.02342,3182.02342,2882.02342,3182.02342
2025,Capital,Immobilisations,Police Capital Reserve,Fonds de réserve pour immobilisations du service de police,12582.25621,21216,12582.25621,21216
2025,Capital,Immobilisations,Police Fleet Reserve,Fonds de réserve du parc automobile du service de police,474.35,832,474.35,832
2025,Capital,Immobilisations,Transit Capital Reserve,Fonds de réserve pour immobilisations du Service de transport en commun,9787.273796,10637.2738,9787.273796,10637.2738
